geoid,block_group,lat,lon
060750313023028,060750313023,37.7116338,-122.4688927
060750313023025,060750313023,37.7117829,-122.4704678
060750313023027,060750313023,37.7118061,-122.4678036
060750313023031,060750313023,37.7125014,-122.470778
060750313023026,060750313023,37.7125683,-122.4691242
060750313022013,060750313022,37.7128868,-122.467754
060750313023015,060750313023,37.7116882,-122.4661586
060750313023007,060750313023,37.7119812,-122.4647013
060750313023008,060750313023,37.7120196,-122.4666425
060750313023005,060750313023,37.7124463,-122.4658098
060750313023006,060750313023,37.7120913,-122.4657251
060750313023001,060750313023,37.7127988,-122.4636335
060750313023002,060750313023,37.7133445,-122.4648317
060750313023004,060750313023,37.7133816,-122.4666376
060750313023003,060750313023,37.7133936,-122.4657388
060750313023000,060750313023,37.7134142,-122.4630309
060750604001023,060750604001,37.7112238,-122.4787636
060750604001026,060750604001,37.7144849,-122.4778492
060750604001031,060750604001,37.7146196,-122.4827674
060750332031010,060750332031,37.7151442,-122.4782917
060750332032011,060750332032,37.7155822,-122.479205
060750332032012,060750332032,37.7158414,-122.4824618
060750332031011,060750332031,37.7159623,-122.481527
060750332032004,060750332032,37.7160954,-122.4802326
060750332032002,060750332032,37.7165994,-122.4782046
060750332032005,060750332032,37.7168582,-122.4809823
060750313022012,060750313022,37.7135651,-122.4683796
060750313022010,060750313022,37.7134896,-122.4698906
060750313022009,060750313022,37.7131946,-122.4709311
060750313022011,060750313022,37.7145076,-122.4702487
060750313022003,060750313022,37.7151751,-122.469357
060750313022002,060750313022,37.7151811,-122.4684572
060750313022001,060750313022,37.7151873,-122.4675558
060750313022004,060750313022,37.7153873,-122.470206
060750313022006,060750313022,37.7150726,-122.4711166
060750313022005,060750313022,37.7157969,-122.4709859
060750313022008,060750313022,37.7149431,-122.471872
060750313022007,060750313022,37.7140643,-122.470975
060750332031001,060750332031,37.7154526,-122.473717
060750332031006,060750332031,37.7163426,-122.4751819
060750332031000,060750332031,37.7163416,-122.4732153
060750332031005,060750332031,37.7168088,-122.4748662
060750313012008,060750313012,37.7172124,-122.4719972
060750332031004,060750332031,37.7174203,-122.474236
060750332031016,060750332031,37.7173259,-122.4740008
060750332031002,060750332031,37.7176451,-122.4738459
060750313022000,060750313022,37.7151937,-122.4666573
060750313021004,060750313021,37.7151995,-122.4657601
060750313021005,060750313021,37.7152066,-122.4648605
060750313021006,060750313021,37.7152137,-122.4639604
060750313021007,060750313021,37.7152225,-122.4630608
060750313021003,060750313021,37.7170096,-122.4666786
060750313021002,060750313021,37.7170217,-122.4648808
060750313021001,060750313021,37.7170286,-122.4639809
060750313021000,060750313021,37.7170366,-122.4630807
060750313012000,060750313012,37.7187918,-122.4666947
060750332032001,060750332032,37.7167248,-122.4770026
060750332032006,060750332032,37.7168881,-122.4824081
060750332032003,060750332032,37.7171372,-122.479034
060750332032000,060750332032,37.7172231,-122.4766377
060750332041014,060750332041,37.717636,-122.4761275
060750332041009,060750332041,37.7180535,-122.4779704
060750332042001,060750332042,37.718268,-122.4809045
060750332041011,060750332041,37.7185891,-122.4762881
060750332041010,060750332041,37.7188702,-122.4770359
060750332042000,060750332042,37.7190396,-122.4791371
060750604001036,060750604001,37.708705,-122.485346
060750604001027,060750604001,37.7092418,-122.4836831
060750604001029,060750604001,37.7102757,-122.4853254
060750604001018,060750604001,37.7093503,-122.4862288
060750604001019,060750604001,37.7112639,-122.4870753
060750604001021,060750604001,37.7125892,-122.485545
060750604001020,060750604001,37.7129084,-122.4859073
060750604001022,060750604001,37.7129928,-122.4853067
060750332032013,060750332032,37.7159393,-122.4837485
060750332031014,060750332031,37.7165246,-122.4851453
060750332032010,060750332032,37.7167504,-122.4847021
060750332032008,060750332032,37.717327,-122.4841002
060750332032007,060750332032,37.7172524,-122.4834439
060750332032009,060750332032,37.7178176,-122.4847843
060750332032014,060750332032,37.7184213,-122.4839865
060750332031012,060750332031,37.7184494,-122.4849702
060750332043011,060750332043,37.7191859,-122.4838678
060750332043012,060750332043,37.7192073,-122.4846863
060750332043002,060750332043,37.7211083,-122.4847222
060750332043007,060750332043,37.7204947,-122.4838662
060750604001033,060750604001,37.7087704,-122.4936066
060750604001032,060750604001,37.7105769,-122.4926357
060750604001011,060750604001,37.7142322,-122.4954137
060750604001003,060750604001,37.718541,-122.492339
060750604001001,060750604001,37.7252648,-122.5015544
060750604001000,060750604001,37.7227766,-122.4916575
060750604001005,060750604001,37.7250682,-122.4938217
060750604001039,060750604001,37.72685,-122.4929081
060750604001002,060750604001,37.7271882,-122.4972996
060750331004028,060750331004,37.7288966,-122.4919099
060750604001012,060750604001,37.7121909,-122.4982129
060750604001013,060750604001,37.7182836,-122.5030279
060750604001014,060750604001,37.722108,-122.501621
060750604001015,060750604001,37.7254887,-122.5035805
060750604001006,060750604001,37.730163,-122.5011041
060750604001007,060750604001,37.7314354,-122.5032922
060750604001016,060750604001,37.7336295,-122.507013
060750604001009,060750604001,37.7347997,-122.5001151
060750353005006,060750353005,37.7354902,-122.499362
060750332043001,060750332043,37.7219689,-122.4841664
060750332043004,060750332043,37.7212843,-122.4850823
060750332043000,060750332043,37.7230527,-122.4837769
060750604001035,060750604001,37.7255109,-122.4844435
060750604001004,060750604001,37.7273722,-122.4887603
060750332011003,060750332011,37.7275046,-122.4839978
060750331004029,060750331004,37.7293725,-122.4908113
060750331004032,060750331004,37.7303265,-122.489049
060750331004031,060750331004,37.7304341,-122.4891693
